persona_id,env_name,noise_pair,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
ipd:cooperative:0,ipd,"0.2,0.2",0,standard,standard,standard,30.520893448892448,29.768553636636483,31.70371391184725,36.691795300635405,,0.5757789277681512,0.6674456292339862,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",0,ew,ew,standard,31.445584752134067,28.941725167095026,32.6652467582155,35.70103758394744,,0.5864426182328857,0.6038620467241486,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",0,lola,lola,standard,56.36462215056374,27.537727623775506,43.32865064707513,35.458645728286776,,0.5742427710660766,0.6589175242439852,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",0,ew_lola,ew_lola,standard,56.07745131985851,27.80861309436673,43.64628381660204,35.14627176309115,,0.6172628995191102,0.597766875804922,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,standard,standard,standard,70.40510216786508,17.63618345567795,72.34761732102892,23.151998732237086,,0.5757789277681512,0.6674456292339862,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,ew,ew,standard,71.61405662353656,17.339766995216223,72.73483075808961,22.992799588917595,,0.5864426182328857,0.6038620467241486,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,lola,lola,standard,72.42755263041046,16.771137429622303,73.49221946014798,22.199514051854724,,0.5742427710660766,0.6589175242439852,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,ew_lola,ew_lola,standard,72.26744081718623,17.027185499085576,73.52306764488952,22.020068257461194,,0.6172628995191102,0.597766875804922,1.0,1.0
rps:rock:0,iterated_rps,"0.2,0.2",0,standard,standard,standard,2.8093645172557307,-2.8093645172557307,1.9990888281514072,-1.9990888281514072,,1.1704313202057126,1.065236041497583,1.0,1.0
rps:rock:0,iterated_rps,"0.2,0.2",0,ew,ew,standard,2.6651297779931613,-2.6651297779931613,1.9690337318428346,-1.9690337318428346,,1.065625756772197,1.1051851575973413,1.0,1.0
rps:rock:0,iterated_rps,"0.2,0.2",0,lola,lola,standard,2.780582822560197,-2.780582822560197,2.0032318673117895,-2.0032318673117895,,1.0862735470459792,1.1695820037400761,1.0,1.0
rps:rock:0,iterated_rps,"0.2,0.2",0,ew_lola,ew_lola,standard,3.1680333397420193,-3.1680333397420193,2.2625778345253225,-2.2625778345253225,,1.0248410344105565,1.089109081862498,1.0,1.0
rps:paper:0,iterated_rps,"0.2,0.2",0,standard,standard,standard,14.191595776047167,-14.191595776047167,9.637614620709437,-9.637614620709437,,1.1704313202057126,1.065236041497583,1.0,1.0
rps:paper:0,iterated_rps,"0.2,0.2",0,ew,ew,standard,12.018033398315557,-12.018033398315557,9.236877960225444,-9.236877960225444,,1.065625756772197,1.1051851575973413,1.0,1.0
rps:paper:0,iterated_rps,"0.2,0.2",0,lola,lola,standard,13.41927791772366,-13.41927791772366,9.6271880794066,-9.6271880794066,,1.0862735470459792,1.1695820037400761,1.0,1.0
rps:paper:0,iterated_rps,"0.2,0.2",0,ew_lola,ew_lola,standard,11.253426118230646,-11.253426118230646,8.98937602675619,-8.98937602675619,,1.0248410344105565,1.089109081862498,1.0,1.0
rps:scissors:0,iterated_rps,"0.2,0.2",0,standard,standard,standard,3.1840363240496767,-3.1840363240496767,2.957806534214671,-2.957806534214671,,1.1704313202057126,1.065236041497583,1.0,1.0
rps:scissors:0,iterated_rps,"0.2,0.2",0,ew,ew,standard,3.2832395671178696,-3.2832395671178696,3.409095565021835,-3.409095565021835,,1.065625756772197,1.1051851575973413,1.0,1.0
rps:scissors:0,iterated_rps,"0.2,0.2",0,lola,lola,standard,3.030782243792138,-3.030782243792138,3.067517311613926,-3.067517311613926,,1.0862735470459792,1.1695820037400761,1.0,1.0
rps:scissors:0,iterated_rps,"0.2,0.2",0,ew_lola,ew_lola,standard,2.7598524225153533,-2.7598524225153533,3.087704147108337,-3.087704147108337,,1.0248410344105565,1.089109081862498,1.0,1.0
