method,lambda_lola,success_rate,mean_final_distance_to_nash,median_final_distance_to_nash,grid_size,steps,lr,tol
standard,0.0,0.0034602076124567475,1.0237405974372535,1.082361357947314,17,80,0.35,0.15
lola,0.0,0.0034602076124567475,1.0237405974372535,1.082361357947314,17,80,0.35,0.15
lola,0.2,0.0034602076124567475,0.922614899488054,0.9959683467947127,17,80,0.35,0.15
lola,0.4,0.08650519031141868,0.7986826102397412,0.927356773225845,17,80,0.35,0.15
