method,lambda_lola,x,y,converged,final_distance_to_nash,final_reward_p1,final_reward_p2
standard,0.0,-1.6,-1.6,0.0,1.170868257837177,0.6678505135040645,-0.6678505135040645
standard,0.0,-1.6,-1.4000000000000001,0.0,1.2991382463487229,0.843797177393321,-0.843797177393321
standard,0.0,-1.6,-1.2000000000000002,0.0,1.2498436104633472,0.7780060801554077,-0.7780060801554077
standard,0.0,-1.6,-1.0,0.0,0.9083024069020922,0.31967903610616166,-0.31967903610616166
standard,0.0,-1.6,-0.8,0.0,1.0870608458596287,-0.5611412131870326,0.5611412131870326
standard,0.0,-1.6,-0.6000000000000001,0.0,1.2214934061080203,-0.7419583850475409,0.7419583850475409
standard,0.0,-1.6,-0.3999999999999999,0.0,1.250534098056145,-0.7811536847360369,0.7811536847360369
standard,0.0,-1.6,-0.19999999999999996,0.0,1.256826552089136,-0.7897474477245899,0.7897474477245899
standard,0.0,-1.6,0.0,0.0,1.2563499070287731,-0.7891783991603573,0.7891783991603573
standard,0.0,-1.6,0.19999999999999996,0.0,1.2549315039630313,-0.7872424178822038,0.7872424178822038
standard,0.0,-1.6,0.3999999999999999,0.0,1.2555981570206822,-0.7879766673141415,0.7879766673141415
standard,0.0,-1.6,0.6000000000000001,0.0,1.2598671114185134,-0.7934030696465437,0.7934030696465437
standard,0.0,-1.6,0.8000000000000003,0.0,1.2675778042671497,-0.8033112270599734,0.8033112270599734
standard,0.0,-1.6,1.0,0.0,1.2762711076722897,-0.8144182752477611,0.8144182752477611
standard,0.0,-1.6,1.2000000000000002,0.0,1.280379186798022,-0.8192289378894326,0.8192289378894326
standard,0.0,-1.6,1.4,0.0,1.2669542338949622,-0.8001165568522155,0.8001165568522155
standard,0.0,-1.6,1.6,0.0,1.1708682578286318,-0.6678505134923388,0.6678505134923388
standard,0.0,-1.4000000000000001,-1.6,0.0,1.2669542338948814,0.8001165568520356,-0.8001165568520356
standard,0.0,-1.4000000000000001,-1.4000000000000001,0.0,1.2577570915375902,0.7893084694079646,-0.7893084694079646
standard,0.0,-1.4000000000000001,-1.2000000000000002,0.0,0.7531410844997409,-0.11678714649312386,0.11678714649312386
standard,0.0,-1.4000000000000001,-1.0,0.0,1.2255175689075448,-0.7490526955020386,0.7490526955020386
standard,0.0,-1.4000000000000001,-0.8,0.0,1.222770132001834,-0.7466380834732296,0.7466380834732296
standard,0.0,-1.4000000000000001,-0.6000000000000001,0.0,1.103498180203874,-0.5903584236304229,0.5903584236304229
standard,0.0,-1.4000000000000001,-0.3999999999999999,0.0,0.7934343118118368,-0.1844156886614644,0.1844156886614644
standard,0.0,-1.4000000000000001,-0.19999999999999996,0.0,0.8652751011509678,0.27946731988638274,-0.27946731988638274
standard,0.0,-1.4000000000000001,0.0,0.0,1.0299969894213103,0.49552147699896565,-0.49552147699896565
standard,0.0,-1.4000000000000001,0.19999999999999996,0.0,1.0897810937718602,0.5737329073811696,-0.5737329073811696
standard,0.0,-1.4000000000000001,0.3999999999999999,0.0,1.1044551792928585,0.5924553520942968,-0.5924553520942968
standard,0.0,-1.4000000000000001,0.6000000000000001,0.0,1.0823613579449223,0.5624188510691481,-0.5624188510691481
standard,0.0,-1.4000000000000001,0.8000000000000003,0.0,0.9849513612630927,0.4322274234415678,-0.4322274234415678
standard,0.0,-1.4000000000000001,1.0,0.0,0.664496948633606,0.0050425976913533455,-0.0050425976913533455
standard,0.0,-1.4000000000000001,1.2000000000000002,0.0,1.091697624293194,-0.5688433310941459,0.5688433310941459
standard,0.0,-1.4000000000000001,1.4,0.0,1.2577570915367828,-0.7893084694068985,0.7893084694068985
standard,0.0,-1.4000000000000001,1.6,0.0,1.2991382463487202,-0.8437971773933254,0.8437971773933254
standard,0.0,-1.2000000000000002,-1.6,0.0,1.2803791867984553,0.8192289378899655,-0.8192289378899655
standard,0.0,-1.2000000000000002,-1.4000000000000001,0.0,1.0916976242896894,0.568843331089522,-0.568843331089522
standard,0.0,-1.2000000000000002,-1.2000000000000002,0.0,1.2030659251581008,-0.7201982298142607,0.7201982298142607
standard,0.0,-1.2000000000000002,-1.0,0.0,1.1610520495581342,-0.6674430553222819,0.6674430553222819
standard,0.0,-1.2000000000000002,-0.8,0.0,0.8235203437722234,0.2305054280501015,-0.2305054280501015
standard,0.0,-1.2000000000000002,-0.6000000000000001,0.0,1.1605074484527076,0.6707340888326132,-0.6707340888326132
standard,0.0,-1.2000000000000002,-0.3999999999999999,0.0,1.1636416609139126,0.676075752825456,-0.676075752825456
standard,0.0,-1.2000000000000002,-0.19999999999999996,0.0,1.0896176276767098,0.5814721539675304,-0.5814721539675304
standard,0.0,-1.2000000000000002,0.0,0.0,0.9809943674803776,0.4421157602318016,-0.4421157602318016
standard,0.0,-1.2000000000000002,0.19999999999999996,0.0,0.9036579118496613,0.3423177389543685,-0.3423177389543685
standard,0.0,-1.2000000000000002,0.3999999999999999,0.0,0.9169137295399523,0.35788179167477163,-0.35788179167477163
standard,0.0,-1.2000000000000002,0.6000000000000001,0.0,1.0190766666554565,0.48758249408058385,-0.48758249408058385
standard,0.0,-1.2000000000000002,0.8000000000000003,0.0,1.1397856722896902,0.6420349602444521,-0.6420349602444521
standard,0.0,-1.2000000000000002,1.0,0.0,1.2116126186998144,0.7338011425734583,-0.7338011425734583
standard,0.0,-1.2000000000000002,1.2000000000000002,0.0,1.2030659251575695,0.7201982298135126,-0.7201982298135126
standard,0.0,-1.2000000000000002,1.4,0.0,0.7531410845059244,0.11678714650155375,-0.11678714650155375
standard,0.0,-1.2000000000000002,1.6,0.0,1.2498436104626895,-0.7780060801545561,0.7780060801545561
standard,0.0,-1.0,-1.6,0.0,1.2762711076729323,0.8144182752485709,-0.8144182752485709
standard,0.0,-1.0,-1.4000000000000001,0.0,0.664496948635246,-0.005042597693666408,0.005042597693666408
standard,0.0,-1.0,-1.2000000000000002,0.0,1.2116126187010683,-0.7338011425750222,0.7338011425750222
standard,0.0,-1.0,-1.0,0.0,0.756218116781167,0.14703562528624903,-0.14703562528624903
standard,0.0,-1.0,-0.8,0.0,1.158276575234379,0.6707856169695599,-0.6707856169695599
standard,0.0,-1.0,-0.6000000000000001,0.0,0.8641366192974163,0.29972119117154816,-0.29972119117154816
standard,0.0,-1.0,-0.3999999999999999,0.0,0.9994952744381449,-0.4747555041241689,0.4747555041241689
standard,0.0,-1.0,-0.19999999999999996,0.0,1.1084126548530655,-0.6138462346241715,0.6138462346241715
standard,0.0,-1.0,0.0,0.0,1.0970872855738567,-0.6000750191716241,0.6000750191716241
standard,0.0,-1.0,0.19999999999999996,0.0,1.0824511041150604,-0.5810973683730923,0.5810973683730923
standard,0.0,-1.0,0.3999999999999999,0.0,1.1025265124358516,-0.6048839347060735,0.6048839347060735
standard,0.0,-1.0,0.6000000000000001,0.0,1.1371130023762515,-0.6464848809056871,0.6464848809056871
standard,0.0,-1.0,0.8000000000000003,0.0,1.1189452780229445,-0.6202142215573756,0.6202142215573756
standard,0.0,-1.0,1.0,0.0,0.7562181167766439,-0.1470356252802414,0.1470356252802414
standard,0.0,-1.0,1.2000000000000002,0.0,1.1610520495586978,0.6674430553230202,-0.6674430553230202
standard,0.0,-1.0,1.4,0.0,1.225517568906505,0.7490526955006158,-0.7490526955006158
standard,0.0,-1.0,1.6,0.0,0.9083024068784246,-0.31967903607464954,0.31967903607464954
standard,0.0,-0.8,-1.6,0.0,1.2675778042669665,0.8033112270597442,-0.8033112270597442
standard,0.0,-0.8,-1.4000000000000001,0.0,0.9849513612599587,-0.43222742343739917,0.43222742343739917
standard,0.0,-0.8,-1.2000000000000002,0.0,1.1397856722860547,-0.6420349602397617,0.6420349602397617
standard,0.0,-0.8,-1.0,0.0,1.1189452780241957,0.6202142215590317,-0.6202142215590317
standard,0.0,-0.8,-0.8,0.0,0.8706065341648409,0.3117120757151108,-0.3117120757151108
standard,0.0,-0.8,-0.6000000000000001,0.0,1.0812361778558919,-0.5829218361261597,0.5829218361261597
standard,0.0,-0.8,-0.3999999999999999,0.0,0.8684799565934338,-0.3250588550013283,0.3250588550013283
standard,0.0,-0.8,-0.19999999999999996,0.0,0.8891469586001953,0.35512518383618363,-0.35512518383618363
standard,0.0,-0.8,0.0,0.0,1.027002912562013,0.5246501280110135,-0.5246501280110135
standard,0.0,-0.8,0.19999999999999996,0.0,1.0461650932725406,0.5468981714378865,-0.5468981714378865
standard,0.0,-0.8,0.3999999999999999,0.0,1.0490740577099271,0.5473508935246655,-0.5473508935246655
standard,0.0,-0.8,0.6000000000000001,0.0,0.9361029726743946,0.4018961796133429,-0.4018961796133429
standard,0.0,-0.8,0.8000000000000003,0.0,0.8706065341657384,-0.3117120757162671,0.3117120757162671
standard,0.0,-0.8,1.0,0.0,1.158276575233237,-0.6707856169682281,0.6707856169682281
standard,0.0,-0.8,1.2000000000000002,0.0,0.8235203437681989,-0.2305054280449091,0.2305054280449091
standard,0.0,-0.8,1.4,0.0,1.222770132002458,0.7466380834740399,-0.7466380834740399
standard,0.0,-0.8,1.6,0.0,1.087060845864376,0.5611412131934692,-0.5611412131934692
standard,0.0,-0.6000000000000001,-1.6,0.0,1.2598671114192719,0.7934030696475145,-0.7934030696475145
standard,0.0,-0.6000000000000001,-1.4000000000000001,0.0,1.0823613579456992,-0.562418851070085,0.562418851070085
standard,0.0,-0.6000000000000001,-1.2000000000000002,0.0,1.0190766666529678,-0.48758249407750287,0.48758249407750287
standard,0.0,-0.6000000000000001,-1.0,0.0,1.1371130023756604,0.6464848809050016,-0.6464848809050016
standard,0.0,-0.6000000000000001,-0.8,0.0,0.9361029726748238,-0.40189617961397406,0.40189617961397406
standard,0.0,-0.6000000000000001,-0.6000000000000001,0.0,0.8494209143646867,-0.307322261253515,0.307322261253515
standard,0.0,-0.6000000000000001,-0.3999999999999999,0.0,0.9987736562392127,0.49842060226842444,-0.49842060226842444
standard,0.0,-0.6000000000000001,-0.19999999999999996,0.0,0.6367803683265096,0.08260630883001877,-0.08260630883001877
standard,0.0,-0.6000000000000001,0.0,0.0,0.8752611419015761,-0.36320232489712057,0.36320232489712057
standard,0.0,-0.6000000000000001,0.19999999999999996,0.0,0.9312622630011684,-0.42545403406021853,0.42545403406021853
standard,0.0,-0.6000000000000001,0.3999999999999999,0.0,0.8389201365724497,-0.30731666525026957,0.30731666525026957
standard,0.0,-0.6000000000000001,0.6000000000000001,0.0,0.8494209143666294,0.30732226125597484,-0.30732226125597484
standard,0.0,-0.6000000000000001,0.8000000000000003,0.0,1.0812361778565247,0.5829218361268398,-0.5829218361268398
standard,0.0,-0.6000000000000001,1.0,0.0,0.8641366192900445,-0.29972119116240437,0.29972119116240437
standard,0.0,-0.6000000000000001,1.2000000000000002,0.0,1.1605074484523552,-0.670734088832208,0.670734088832208
standard,0.0,-0.6000000000000001,1.4,0.0,1.1034981802065487,0.5903584236339805,-0.5903584236339805
standard,0.0,-0.6000000000000001,1.6,0.0,1.221493406110652,0.7419583850510718,-0.7419583850510718
standard,0.0,-0.3999999999999999,-1.6,0.0,1.2555981570210297,0.787976667314585,-0.787976667314585
standard,0.0,-0.3999999999999999,-1.4000000000000001,0.0,1.104455179293442,-0.5924553520950255,0.5924553520950255
standard,0.0,-0.3999999999999999,-1.2000000000000002,0.0,0.9169137295397927,-0.35788179167458717,0.35788179167458717
standard,0.0,-0.3999999999999999,-1.0,0.0,1.1025265124363934,0.6048839347068129,-0.6048839347068129
standard,0.0,-0.3999999999999999,-0.8,0.0,1.0490740577094237,-0.547350893524007,0.547350893524007
standard,0.0,-0.3999999999999999,-0.6000000000000001,0.0,0.838920136575247,0.30731666525365975,-0.30731666525365975
standard,0.0,-0.3999999999999999,-0.3999999999999999,0.0,0.5724631145640131,0.02685594175980375,-0.02685594175980375
standard,0.0,-0.3999999999999999,-0.19999999999999996,0.0,0.7804186117614806,-0.28340796258190315,0.28340796258190315
standard,0.0,-0.3999999999999999,0.0,0.0,0.7248469747808832,0.23452838656350988,-0.23452838656350988
standard,0.0,-0.3999999999999999,0.19999999999999996,0.0,0.8034216738438806,0.3090709300064963,-0.3090709300064963
standard,0.0,-0.3999999999999999,0.3999999999999999,0.0,0.572463114564253,-0.026855941760300206,0.026855941760300206
standard,0.0,-0.3999999999999999,0.6000000000000001,0.0,0.9987736562392252,-0.4984206022683531,0.4984206022683531
standard,0.0,-0.3999999999999999,0.8000000000000003,0.0,0.8684799565881611,0.3250588549949559,-0.3250588549949559
standard,0.0,-0.3999999999999999,1.0,0.0,0.9994952744349626,0.4747555041199095,-0.4747555041199095
standard,0.0,-0.3999999999999999,1.2000000000000002,0.0,1.1636416609138238,-0.6760757528253449,0.6760757528253449
standard,0.0,-0.3999999999999999,1.4,0.0,0.7934343117990739,0.18441568864476554,-0.18441568864476554
standard,0.0,-0.3999999999999999,1.6,0.0,1.250534098055675,0.7811536847353773,-0.7811536847353773
standard,0.0,-0.19999999999999996,-1.6,0.0,1.2549315039626097,0.7872424178816494,-0.7872424178816494
standard,0.0,-0.19999999999999996,-1.4000000000000001,0.0,1.0897810937775674,-0.5737329073888344,0.5737329073888344
standard,0.0,-0.19999999999999996,-1.2000000000000002,0.0,0.9036579118442338,-0.34231773894746653,0.34231773894746653
standard,0.0,-0.19999999999999996,-1.0,0.0,1.0824511041160867,0.5810973683744067,-0.5810973683744067
standard,0.0,-0.19999999999999996,-0.8,0.0,1.046165093272738,-0.5468981714381901,0.5468981714381901
standard,0.0,-0.19999999999999996,-0.6000000000000001,0.0,0.9312622629996681,0.42545403405806753,-0.42545403405806753
standard,0.0,-0.19999999999999996,-0.3999999999999999,0.0,0.8034216738446156,-0.3090709300077931,0.3090709300077931
standard,0.0,-0.19999999999999996,-0.19999999999999996,0.0,0.6577363332207176,0.2082229420933931,-0.2082229420933931
standard,0.0,-0.19999999999999996,0.0,0.0,0.49889940723483506,-0.10721884918149427,0.10721884918149427
standard,0.0,-0.19999999999999996,0.19999999999999996,0.0,0.6577363332199352,-0.20822294209301165,0.20822294209301165
standard,0.0,-0.19999999999999996,0.3999999999999999,0.0,0.7804186117605414,0.28340796258082107,-0.28340796258082107
