persona_id,env_name,noise_pair,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
ipd:cooperative:0,ipd,"0.2,0.2",0,standard,standard,standard,28.781714066385394,27.941429906841243,30.706270348105438,33.41135199724467,,0.6127236624020215,0.6800303023241207,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",0,ew,ew,standard,28.405469897473605,27.89528145072722,31.363948556434856,32.65646438412906,,0.5943291228940838,0.622007463481049,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",0,lola,lola,standard,36.76813807123039,24.864353077118103,44.72017052021839,30.855540308578476,,0.5886334629678539,0.6745313209895147,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",0,ew_lola,ew_lola,standard,36.79613337290674,24.681680720108208,45.404208047927156,30.508972841422764,,0.6248774296367534,0.6224275844260837,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",1,standard,standard,standard,28.898024856782175,28.16723380433371,31.210363565811008,32.954729359438545,,0.6196870787079634,0.6693796476727245,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",1,ew,ew,standard,28.086940182699625,27.79357038624853,30.603857081788174,32.757558666450265,,0.5591484543442286,0.6255985510306943,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",1,lola,lola,standard,37.09027965876022,24.842193964063803,43.351748278937706,30.817642278135033,,0.5750373919288002,0.6873842224711829,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",1,ew_lola,ew_lola,standard,41.67210641223002,24.512034837266533,43.64574728942281,31.482188468042636,,0.6591550802779634,0.6668142535783,1.0,1.0
ipd:cooperative:0,ipd,"0.5,0.2",0,standard,standard,standard,28.464772428104368,28.261736313291742,30.547802393499165,33.74048576937837,,1.5318091560050535,0.6800303023241207,1.0,1.0
ipd:cooperative:0,ipd,"0.5,0.2",0,ew,ew,standard,23.08480033889582,43.7944365803689,23.35668099543983,54.554639279448736,,1.4858228072352093,0.622007463481049,0.16000000000000003,1.0
ipd:cooperative:0,ipd,"0.5,0.2",0,lola,lola,standard,36.267873668271804,25.030587622994126,44.24939615307535,30.59138807236001,,1.4715836574196346,0.6745313209895147,1.0,1.0
ipd:cooperative:0,ipd,"0.5,0.2",0,ew_lola,ew_lola,standard,24.87698960606885,42.14770077638841,24.4440871322858,52.87351809853362,,1.5621935740918835,0.6224275844260837,0.16000000000000003,1.0
ipd:cooperative:0,ipd,"0.5,0.2",1,standard,standard,standard,29.0495232025553,28.853335615793803,31.983462474670084,32.94775452981752,,1.5492176967699085,0.6693796476727245,1.0,1.0
ipd:cooperative:0,ipd,"0.5,0.2",1,ew,ew,standard,23.23733107084216,43.06995690404776,23.246036304035407,54.696708642260795,,1.3978711358605709,0.6255985510306943,0.16000000000000003,1.0
ipd:cooperative:0,ipd,"0.5,0.2",1,lola,lola,standard,34.407553177762495,25.20582428308019,42.82080067619252,30.34705769112375,,1.4375934798220005,0.6873842224711829,1.0,1.0
