persona_id,env_name,noise_pair,seed,step,method,method_p1,method_p2,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
ipd:cooperative:0,ipd,"0.2,0.2",0,0,lola,lola,standard,36.125171773499204,48.70191144825525,0.14953487812212204,,5.227969964903924,5.360245927559611,0.5790114037364665,0.4907114421278176
ipd:cooperative:0,ipd,"0.2,0.2",0,1,lola,lola,standard,35.809132673188984,37.14017426908856,0.13042371500610728,,4.7058663886125816,3.466706167659914,0.6110160497208328,0.7248797583513031
ipd:cooperative:0,ipd,"0.2,0.2",0,2,lola,lola,standard,38.730421607073296,34.20818865530146,0.11618404012127041,,3.884066633421971,2.602149436442978,0.5864477672106934,0.6130442673003756
ipd:cooperative:0,ipd,"0.2,0.2",0,3,lola,lola,standard,43.126383281601036,33.09120255837897,0.10511205190671433,,3.412999033094369,2.3817794636181513,0.6119777177328262,0.6428047369587118
ipd:cooperative:0,ipd,"0.2,0.2",0,4,lola,lola,standard,49.81617239652449,32.0726698149209,0.09622504486493763,,3.220003400574922,2.3630102275117606,0.5626490485935567,0.669810146605563
ipd:cooperative:0,ipd,"0.2,0.2",0,5,lola,lola,standard,56.36462215056374,27.537727623775506,0.08891397050194613,,3.291590398994661,2.2478368422299106,0.5742427710660766,0.6589175242439852
ipd:cooperative:0,ipd,"0.2,0.2",0,6,lola,lola,standard,56.619745503656794,23.473474852629895,0.08278001303808509,,3.387096468875826,1.9976375885124382,0.5786214029246394,0.6926184353479624
ipd:cooperative:0,ipd,"0.2,0.2",0,7,lola,lola,standard,50.558109299043004,23.50379107666347,0.07755040492517497,,3.2742666124961017,2.0208148549948817,0.6113367985690651,0.6859303299429858
ipd:cooperative:0,ipd,"0.2,0.2",0,8,lola,lola,standard,43.2838084458029,23.96190970965261,0.07303188161984392,,3.077730604470391,2.085433127087695,0.6051723636403347,0.6866300409371353
ipd:cooperative:0,ipd,"0.2,0.2",0,9,lola,lola,standard,36.76813807123039,24.864353077118103,0.0690834435809882,,2.847426405067834,2.1419123213880655,0.5886334629678539,0.6745313209895147
ipd:cooperative:0,ipd,"0.2,0.2",0,0,ew_lola,ew_lola,standard,35.96373479728569,47.57202404440426,0.14953487812212204,,5.227969964903924,5.360245927559611,0.7286866399602274,0.4766579081049751
ipd:cooperative:0,ipd,"0.2,0.2",0,1,ew_lola,ew_lola,standard,35.73259663522945,36.98432107808684,0.13042371500610728,,4.7365856848965855,3.4957516927056593,0.5956169306590418,0.5417920226844202
ipd:cooperative:0,ipd,"0.2,0.2",0,2,ew_lola,ew_lola,standard,38.983290588799036,33.89304904421194,0.11618404012127041,,3.9818620081897578,2.6174192259445714,0.6380723607659721,0.6144680583205083
ipd:cooperative:0,ipd,"0.2,0.2",0,3,ew_lola,ew_lola,standard,44.26044373434585,33.242634159840286,0.10511205190671433,,3.502096187154135,2.486525942085107,0.625020225069463,0.557364607373031
ipd:cooperative:0,ipd,"0.2,0.2",0,4,ew_lola,ew_lola,standard,50.86018582409373,31.376989157636828,0.09622504486493763,,3.3564132382396807,2.4849615245412817,0.5912809392081767,0.5862739293366619
ipd:cooperative:0,ipd,"0.2,0.2",0,5,ew_lola,ew_lola,standard,56.07745131985851,27.80861309436673,0.08891397050194613,,3.4097592185722925,2.296211207421639,0.6172628995191102,0.597766875804922
ipd:cooperative:0,ipd,"0.2,0.2",0,6,ew_lola,ew_lola,standard,58.60527849324895,23.217033328561026,0.08278001303808509,,3.4971120249344603,2.016224102956021,0.6134557888687742,0.5948573047909502
ipd:cooperative:0,ipd,"0.2,0.2",0,7,ew_lola,ew_lola,standard,53.176712389818725,22.585789608675647,0.07755040492517497,,3.4109338855173297,2.0156485050138366,0.6099970705653786,0.612281510125439
ipd:cooperative:0,ipd,"0.2,0.2",0,8,ew_lola,ew_lola,standard,43.58625332368482,23.72759417833591,0.07303188161984392,,3.205709371217177,2.1060781593354525,0.6080439195628493,0.6236007597955847
ipd:cooperative:0,ipd,"0.2,0.2",0,9,ew_lola,ew_lola,standard,36.79613337290674,24.681680720108208,0.0690834435809882,,2.9556394721120265,2.1835847055685664,0.6248774296367534,0.6224275844260837
ipd:cooperative:0,ipd,"0.2,0.2",1,0,standard,standard,standard,35.12002920598051,50.192192448400625,0.14953487812212204,,5.358861021104587,5.469871472483528,0.7379916007332917,0.6696900828675411
ipd:cooperative:0,ipd,"0.2,0.2",1,1,standard,standard,standard,32.58617576917958,39.07201124821421,0.13042371500610728,,4.953783985043907,4.118762526355087,0.6257301936776345,0.7536528280138705
ipd:cooperative:0,ipd,"0.2,0.2",1,2,standard,standard,standard,32.18134656251549,33.99396458138772,0.11618404012127041,,4.190836503918859,3.03074112273285,0.6364590673456849,0.7223886887207215
ipd:cooperative:0,ipd,"0.2,0.2",1,3,standard,standard,standard,31.798313555806313,31.591473390697693,0.10511205190671433,,3.590702385251296,2.421601784018333,0.6042585020712636,0.6550704670580477
ipd:cooperative:0,ipd,"0.2,0.2",1,4,standard,standard,standard,31.160070126892084,30.456691268106535,0.09622504486493763,,3.131778172405591,2.056794410636446,0.5862881994382809,0.6443575605041223
ipd:cooperative:0,ipd,"0.2,0.2",1,5,standard,standard,standard,31.135376342488527,29.47125412700976,0.08891397050194613,,2.786469964409349,1.8030588451548997,0.5860967473631117,0.6222398280964628
ipd:cooperative:0,ipd,"0.2,0.2",1,6,standard,standard,standard,30.186074917463884,29.083808261915856,0.08278001303808509,,2.5124736406120616,1.6346339535112242,0.5669304873149187,0.6467312605713212
ipd:cooperative:0,ipd,"0.2,0.2",1,7,standard,standard,standard,29.558849264602383,29.005477744789737,0.07755040492517497,,2.2889636015250234,1.5094447422476875,0.5996700538255587,0.6502414550670818
ipd:cooperative:0,ipd,"0.2,0.2",1,8,standard,standard,standard,29.479375056399125,28.513186719529603,0.07303188161984392,,2.110133907482632,1.3951343254125321,0.6067238946982866,0.6599401582651758
