persona_id,env_name,noise_pair,seed,step,method,method_p1,method_p2,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
ipd:defective:0,ipd,"0.2,0.2",0,0,ew,ew,standard,75.21702841486722,33.868704867797604,0.14953487812212204,,7.504151582990955,5.144567309821429,0.7369553387375245,0.576087362466958
ipd:defective:0,ipd,"0.2,0.2",0,1,ew,ew,standard,72.64180445608713,26.590505830709855,0.13042371500610728,,6.590892095153558,5.014481426842265,0.6966013243358764,0.5911556417378805
ipd:defective:0,ipd,"0.2,0.2",0,2,ew,ew,standard,72.55099995867637,22.241422462093883,0.11618404012127041,,5.520536515038596,4.161283759644039,0.6699509060383804,0.6182061128271491
ipd:defective:0,ipd,"0.2,0.2",0,3,ew,ew,standard,72.38323900837932,19.721331771300463,0.10511205190671433,,4.781559539066196,3.5496099164415194,0.6190384138767016,0.5866335782906302
ipd:defective:0,ipd,"0.2,0.2",0,0,lola,lola,standard,75.64385522513813,33.9468156299756,0.14953487812212204,,7.504151582990955,5.144567309821429,0.5790114037364665,0.4907114421278176
ipd:defective:0,ipd,"0.2,0.2",0,1,lola,lola,standard,73.64063725732808,25.159275496733116,0.13042371500610728,,6.646816199652377,4.861907012530299,0.6110160497208328,0.7248797583513031
ipd:defective:0,ipd,"0.2,0.2",0,2,lola,lola,standard,73.26846654281788,21.113896831416476,0.11618404012127041,,5.591178632253004,4.07595131305774,0.5864477672106934,0.6130442673003756
ipd:defective:0,ipd,"0.2,0.2",0,3,lola,lola,standard,73.17750771513367,18.63086246394449,0.10511205190671433,,4.807300281865129,3.4746926962510734,0.6119777177328262,0.6428047369587118
ipd:defective:0,ipd,"0.2,0.2",0,0,ew_lola,ew_lola,standard,76.04785220733136,32.82908992073995,0.14953487812212204,,7.504151582990955,5.144567309821429,0.7286866399602274,0.4766579081049751
ipd:defective:0,ipd,"0.2,0.2",0,1,ew_lola,ew_lola,standard,73.7530628090303,25.202715393910122,0.13042371500610728,,6.59355809193731,4.8438739743721815,0.5956169306590418,0.5417920226844202
ipd:defective:0,ipd,"0.2,0.2",0,2,ew_lola,ew_lola,standard,73.2576094285081,20.904709923998993,0.11618404012127041,,5.5800433912637315,4.079100543039023,0.6380723607659721,0.6144680583205083
ipd:defective:0,ipd,"0.2,0.2",0,3,ew_lola,ew_lola,standard,73.13823802933486,18.620364522389476,0.10511205190671433,,4.804256079142434,3.456030229289148,0.625020225069463,0.557364607373031
