env_name,noise_pair,seed,step,method,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
ipd,"0.2,0.2",0,5,ew,28.86088831747884,28.58056732382797,0.08891397050194613,,2.9282660038490396,2.7530599048688753,0.5747383225071896,0.5661554004547407
ipd,"0.2,0.2",0,0,lola,42.77505524197098,43.09582072699926,0.14953487812212204,,6.4410160493357544,6.234399278977233,0.7369553387375245,0.576087362466958
ipd,"0.2,0.2",0,1,lola,37.200232113103446,35.736068896642585,0.13042371500610728,,4.552254242631106,4.248320876840576,0.6966013243358764,0.5911556417378805
ipd,"0.2,0.2",0,2,lola,38.1123449412618,35.325371967958844,0.11618404012127041,,3.1490397999926567,3.013643307511513,0.6699509060383804,0.6182061128271491
ipd,"0.2,0.2",0,3,lola,41.40768038336576,37.692007945644434,0.10511205190671433,,2.472129145670969,2.6902958162161883,0.6190384138767016,0.5866335782906302
ipd,"0.2,0.2",0,4,lola,50.808157964311775,43.33902297200129,0.09622504486493763,,2.1298294639193935,2.9201791521317304,0.5912656128400948,0.6405446743458236
ipd,"0.2,0.2",0,5,lola,59.563115412363565,47.24388782008682,0.08891397050194613,,1.902341215401429,3.2956112117406167,0.5864426182328857,0.6038620467241486
ipd,"0.2,0.2",0,0,ew_lola,43.054180035043785,41.959472696037516,0.14953487812212204,,6.4410160493357544,6.234399278977233,0.5311692554308596,0.45186577423935514
ipd,"0.2,0.2",0,1,ew_lola,35.917213117987274,35.93607004635944,0.13042371500610728,,4.377749069031577,4.285951246110263,0.4841820803796162,0.5472137770475786
ipd,"0.2,0.2",0,2,ew_lola,35.687028196437865,36.825192998349685,0.11618404012127041,,3.0486717974056474,2.9618614849787144,0.573945140626693,0.5594274650661952
ipd,"0.2,0.2",0,3,ew_lola,37.29813419270915,38.95379832475648,0.10511205190671433,,2.5949904984088237,2.372551380077495,0.5315825153006905,0.5988623408658827
ipd,"0.2,0.2",0,4,ew_lola,42.58665016349302,45.97439568418813,0.09622504486493763,,2.6857151071626655,2.106789955772674,0.561521136963728,0.6075259059673391
ipd,"0.2,0.2",0,5,ew_lola,49.1018693818295,56.93417297096123,0.08891397050194613,,3.120770169892571,1.9692260991709158,0.5410870249909493,0.6425684878541084
iterated_rps,"0.2,0.2",0,0,standard,0.007398848936768527,-0.007398848936768527,0.14953487812212204,,0.10270519261600751,0.0831528270479394,0.9367715860954495,1.0227523510105165
iterated_rps,"0.2,0.2",0,1,standard,0.00040193717333130585,-0.00040193717333130585,0.13042371500610728,,0.12591593930676104,0.10501402977908814,1.0594173414920602,1.107788595669255
iterated_rps,"0.2,0.2",0,2,standard,-0.006429808652822403,0.006429808652822403,0.11618404012127041,,0.1470866213916878,0.1260981685949882,1.0134520066498693,1.0944000178855133
iterated_rps,"0.2,0.2",0,3,standard,0.007816416061508197,-0.007816416061508197,0.10511205190671433,,0.15686862124265943,0.14229199441824228,1.0866090301856675,1.055978146289063
iterated_rps,"0.2,0.2",0,4,standard,0.010885618588784273,-0.010885618588784273,0.09622504486493763,,0.17046828345559695,0.15542359471221118,1.0472303259577456,1.075045736593443
iterated_rps,"0.2,0.2",0,5,standard,0.010346506303098392,-0.010346506303098392,0.08891397050194613,,0.18638565882254257,0.17030995693224105,1.0834163356413888,1.0495260531399477
iterated_rps,"0.2,0.2",0,0,ew,0.0028381042892841523,-0.0028381042892841523,0.14953487812212204,,0.10270519261600751,0.0831528270479394,0.8663465890174719,0.9356204077265028
iterated_rps,"0.2,0.2",0,1,ew,0.016436002648019393,-0.016436002648019393,0.13042371500610728,,0.11349884614353635,0.09462782132025299,1.0771061779177717,0.9300125482370445
