game,noise_pair,noise_ratio,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
matching_pennies,"4,1",16.0,4,standard,standard,standard,-0.9248263364903205,0.9248263364903205,-0.6743621351262097,0.6743621351262097,1.3610435707586879,5.327024796272228,1.1947477387316765,1.0,1.0
matching_pennies,"4,1",16.0,4,ew,ew,ew,-0.10308568863231501,0.10308568863231501,-0.023940340305035605,0.023940340305035605,0.5692334738843405,4.648711289295001,1.3477063177496083,0.0625,1.0
matching_pennies,"4,1",16.0,4,lola,lola,lola,-0.6770763801651087,0.6770763801651087,-0.15814463004689738,0.15814463004689738,1.1858638785999038,4.7785457986833855,1.2063207250069221,1.0,1.0
matching_pennies,"4,1",16.0,4,ew_lola,ew_lola,ew_lola,-0.4162531590034957,0.4162531590034957,-0.06280113384428003,0.06280113384428003,0.9128251600322216,5.207337612582244,1.1926660640523892,0.0625,1.0
matching_pennies,"4,1",16.0,5,standard,standard,standard,0.9835742264117701,-0.9835742264117701,0.0004953882629141649,-0.0004953882629141649,1.4025596578292334,5.421250584803267,1.4296462200974682,1.0,1.0
matching_pennies,"4,1",16.0,5,ew,ew,ew,-0.02269535283143362,0.02269535283143362,-0.02806521596164998,0.02806521596164998,0.36460997771460546,3.803385218124938,1.2695690913916393,0.0625,1.0
matching_pennies,"4,1",16.0,5,lola,lola,lola,-0.8427343084638854,0.8427343084638854,-0.06101324523788284,0.06101324523788284,1.3029966483962507,4.885341679435943,1.1506731163645196,1.0,1.0
matching_pennies,"4,1",16.0,5,ew_lola,ew_lola,ew_lola,0.16233524474223265,-0.16233524474223265,0.06577236924983769,-0.06577236924983769,0.5941626195734339,5.293180167085416,1.1267444592943285,0.0625,1.0
matching_pennies,"4,1",16.0,6,standard,standard,standard,-0.12427602705957758,0.12427602705957758,0.16629752449925603,-0.16629752449925603,0.5116122221657514,5.165265514561996,1.2659270792001316,1.0,1.0
matching_pennies,"4,1",16.0,6,ew,ew,ew,-0.10846209197348816,0.10846209197348816,0.00248091946845467,-0.00248091946845467,0.47082623938437146,4.839360908120329,1.35236395680517,0.0625,1.0
matching_pennies,"4,1",16.0,6,lola,lola,lola,-0.9673519578170724,0.9673519578170724,-0.42325478180225823,0.42325478180225823,1.3911271552773998,4.768773675228441,1.318073592719161,1.0,1.0
matching_pennies,"4,1",16.0,6,ew_lola,ew_lola,ew_lola,0.06607878614590956,-0.06607878614590956,0.07541782215806746,-0.07541782215806746,0.3646547283623026,4.48149378675962,1.2404574953297212,0.0625,1.0
matching_pennies,"4,1",16.0,7,standard,standard,standard,-0.8708892964739983,0.8708892964739983,-0.540459482469539,0.540459482469539,1.322918505966742,4.546484213261277,1.2801270620149618,1.0,1.0
matching_pennies,"4,1",16.0,7,ew,ew,ew,0.26860451382346306,-0.26860451382346306,0.02292127758240818,-0.02292127758240818,0.7862808956559282,5.497806754268934,1.437495470516179,0.0625,1.0
matching_pennies,"4,1",16.0,7,lola,lola,lola,-0.9733647032693791,0.9733647032693791,-0.774619793572585,0.774619793572585,1.3953793745840364,5.121567145468257,1.1530874897854613,1.0,1.0
matching_pennies,"4,1",16.0,7,ew_lola,ew_lola,ew_lola,-0.0033947389885946033,0.0033947389885946033,-0.02729276492959092,0.02729276492959092,0.20200945115442162,5.520335553350767,1.1853669737028818,0.0625,1.0
matching_pennies,"16,1",256.0,0,standard,standard,standard,0.9001298647074667,-0.9001298647074667,-0.43082905478077427,0.43082905478077427,1.3417878530225136,19.572230977536528,1.2727148775394699,1.0,1.0
matching_pennies,"16,1",256.0,0,ew,ew,ew,-0.037007171203772296,0.037007171203772296,-0.028580199876512752,0.028580199876512752,0.6531546559205434,20.643156408071455,1.1248658650431491,0.00390625,1.0
