game,noise_pair,noise_ratio,seed,step,method,method_p1,method_p2,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
matching_pennies,"1,1",1.0,0,0,standard,standard,standard,0.014470642269091338,-0.014470642269091338,0.2392558049953953,0.22157300518882383,0.018925911530318525,0.009108809624713441,0.7989099019834672,1.6399652522526933
matching_pennies,"1,1",1.0,0,1,standard,standard,standard,0.03702511187171581,-0.03702511187171581,0.20867794400977166,0.2845486007306328,0.10005879308291109,0.023141918154519978,0.8459207235074371,0.8497618581163328
matching_pennies,"1,1",1.0,0,2,standard,standard,standard,0.06675953556586317,-0.06675953556586317,0.18589446419403266,0.3693921658764037,0.12675006838849498,0.046721458020634786,1.0570174667159682,0.7394426584451694
matching_pennies,"1,1",1.0,0,3,standard,standard,standard,0.013301973748775231,-0.013301973748775231,0.16817928305074292,0.17220726582302684,0.14537375610931322,0.07091281775023114,1.0498632576077385,0.7659142443511544
matching_pennies,"1,1",1.0,0,4,standard,standard,standard,0.024460918827155897,-0.024460918827155897,0.1539600717839002,0.2464189871464627,0.13888808439808126,0.06812448852097835,1.1440987467574257,1.080389865394968
matching_pennies,"1,1",1.0,0,5,standard,standard,standard,0.21513728436425647,-0.21513728436425647,0.14226235280311383,0.6601842788573187,0.14504661651766548,0.06752908626797238,1.2594323114426427,1.274885621573034
matching_pennies,"1,1",1.0,0,6,standard,standard,standard,0.07190536588327243,-0.07190536588327243,0.13244802086093616,0.5236324163641084,0.16781368572771,0.08841606319807147,1.4158055658455777,1.3365466407136868
matching_pennies,"1,1",1.0,0,7,standard,standard,standard,-0.0931522733923405,0.0931522733923405,0.12408064788027995,0.5911471351463453,0.20140110729409527,0.0835474774578705,1.5838258415493076,1.2879225566878534
matching_pennies,"1,1",1.0,0,8,standard,standard,standard,-0.02108332162622477,0.02108332162622477,0.11685101059175028,0.5205930609316142,0.2333357163705189,0.07951640732360372,1.4965551290128558,1.1488949576904781
matching_pennies,"1,1",1.0,0,9,standard,standard,standard,-0.10590365753829409,0.10590365753829409,0.1105335097295811,0.5609279604643485,0.259906461844132,0.07262217243865568,1.5792983634821223,1.1203930370236785
matching_pennies,"1,1",1.0,0,10,standard,standard,standard,-0.08045014530097566,0.08045014530097566,0.1049594491341563,0.47436836498735335,0.2751949649886791,0.07269685140665609,1.6038700001135267,1.164454863404466
matching_pennies,"1,1",1.0,0,11,standard,standard,standard,-0.03780328588345139,0.03780328588345139,0.1,0.4369324236831142,0.28183734060901167,0.07341393782080842,1.5187506322847695,1.123522651458303
matching_pennies,"1,1",1.0,0,12,standard,standard,standard,0.08730496301173833,-0.08730496301173833,0.09555497340559674,0.5425510290874491,0.2898812012796964,0.07038266665848203,1.5646509853269837,1.0882280115878484
matching_pennies,"1,1",1.0,0,13,standard,standard,standard,0.06714048208815095,-0.06714048208815095,0.09154520639587191,0.444527465535273,0.30029851642912947,0.06960247745828603,1.526693927576711,1.1176639177321939
matching_pennies,"1,1",1.0,0,14,standard,standard,standard,0.007724469460256234,-0.007724469460256234,0.08790726862862501,0.183805102718747,0.30305258390979833,0.0698337888459459,1.4901679217260917,1.1828408251089058
matching_pennies,"1,1",1.0,0,15,standard,standard,standard,0.006712706399502305,-0.006712706399502305,0.08458970107524513,0.12486632695961725,0.2940755301672068,0.06690452589550296,1.4288663488610325,1.201651682392751
matching_pennies,"1,1",1.0,0,16,standard,standard,standard,-0.010946902706875122,0.010946902706875122,0.08155029115916466,0.16457747793964944,0.27904677542198253,0.06799493239388409,1.3967322889428908,1.1735816758673359
matching_pennies,"1,1",1.0,0,17,standard,standard,standard,-0.0038309422938738735,0.0038309422938738735,0.07875406438792705,0.09417812884342018,0.26604228679423597,0.07076242970794945,1.3955837932992092,1.1414259113007654
matching_pennies,"1,1",1.0,0,18,standard,standard,standard,-0.040384436242584476,0.040384436242584476,0.07617178097721192,0.3025178781714298,0.2535909338092792,0.07042497328696404,1.474386982428923,1.1167099801249263
matching_pennies,"1,1",1.0,0,19,standard,standard,standard,-0.056505404054132125,0.056505404054132125,0.07377879464668811,0.3362642745482083,0.2454724013843786,0.07685775355678852,1.4141524299942811,1.0969210904627484
matching_pennies,"1,1",1.0,0,20,standard,standard,standard,-0.027280781280906385,0.027280781280906385,0.07155417527999328,0.23389422966789894,0.24153656251134664,0.0805523243671957,1.3837636454209137,1.1226155336089063
matching_pennies,"1,1",1.0,0,21,standard,standard,standard,-0.03958999017132958,0.03958999017132958,0.06948002659548387,0.2980835834214153,0.2354472989217924,0.08234270274275467,1.4213278945272434,1.1133939932761272
matching_pennies,"1,1",1.0,0,22,standard,standard,standard,-0.008615506375650783,0.008615506375650783,0.06754094983569713,0.13203345031088615,0.23365680877277503,0.08276329964864027,1.3874448572022866,1.150539956742704
matching_pennies,"1,1",1.0,0,23,standard,standard,standard,-0.007656462674329956,0.007656462674329956,0.06572361810832018,0.3814509705851774,0.22694662132231339,0.08174331238037287,1.3839382460118748,1.2196779882143642
matching_pennies,"1,1",1.0,0,24,standard,standard,standard,0.016868763038585588,-0.016868763038585588,0.06401643550637473,0.19599496676440664,0.2327110402677107,0.07877251229313526,1.3598538466198389,1.282654711616244
matching_pennies,"1,1",1.0,0,25,standard,standard,standard,0.012805228782784228,-0.012805228782784228,0.06240926184855243,0.16005447851377758,0.22612888983384843,0.08078563278084509,1.3417976033286874,1.2430940128390993
matching_pennies,"1,1",1.0,0,26,standard,standard,standard,0.00020134768593418895,-0.00020134768593418895,0.06089318869085335,0.05012775699703629,0.2206302166288207,0.08076913641392981,1.350249988226946,1.2644679088555622
matching_pennies,"1,1",1.0,0,27,standard,standard,standard,-0.03230876507759825,0.03230876507759825,0.05946035575013606,0.25500382278108236,0.21446597141360324,0.0779590355864401,1.3459308359750441,1.2800066647307322
matching_pennies,"1,1",1.0,0,28,standard,standard,standard,-0.0329611582534437,0.0329611582534437,0.058103799440689226,0.26043125592085786,0.21096502598569636,0.07988549677265509,1.3247317562737104,1.2691269611294687
matching_pennies,"1,1",1.0,0,29,standard,standard,standard,-0.0019916848976810897,0.0019916848976810897,0.05681732712391572,0.13756612217413336,0.20737946285384395,0.08217094714226976,1.348070888058149,1.2633583521446907
matching_pennies,"1,1",1.0,0,30,standard,standard,standard,-0.03311316854099303,0.03311316854099303,0.05559541209366371,0.25785292030151263,0.20092875470786772,0.08371009798812258,1.3779703227379188,1.2611977890577255
matching_pennies,"1,1",1.0,0,31,standard,standard,standard,0.007753688242935208,-0.007753688242935208,0.05443310539518174,0.19078213351824375,0.198284088200566,0.08525088137698751,1.371751744907745,1.2991141763108782
matching_pennies,"1,1",1.0,0,32,standard,standard,standard,0.11668964137620293,-0.11668964137620293,0.05332596139588455,0.5394781906160335,0.19735061318599828,0.0833288381673447,1.3596998634827304,1.3260719657789
matching_pennies,"1,1",1.0,0,33,standard,standard,standard,0.24139952459716701,-0.24139952459716701,0.05226997465680818,0.7102495740374286,0.20249715065030374,0.08394251312639404,1.3433538245496188,1.3171132131763057
matching_pennies,"1,1",1.0,0,34,standard,standard,standard,0.31453066593370044,-0.31453066593370044,0.05126152614234633,0.7966007007483581,0.20701833556763183,0.08663149965477784,1.3195256816431944,1.2885142139198502
matching_pennies,"1,1",1.0,0,35,standard,standard,standard,0.37860034266057385,-0.37860034266057385,0.05029733718731742,0.8722454369413701,0.21020718798584506,0.09045363380890373,1.2899004387318365,1.2746335629990748
matching_pennies,"1,1",1.0,0,36,standard,standard,standard,0.32768720837974263,-0.32768720837974263,0.04937442994019986,0.8100137083114849,0.212969967959863,0.09421388610221944,1.274288468599777,1.2731956396168764
matching_pennies,"1,1",1.0,0,37,standard,standard,standard,0.25539065881085815,-0.25539065881085815,0.04849009323851106,0.7165732473809125,0.2150087740735481,0.09842241481524465,1.256785351595341,1.2775001752184114
matching_pennies,"1,1",1.0,0,38,standard,standard,standard,0.1968940971246452,-0.1968940971246452,0.04764185306104214,0.6633281037080303,0.21550066003706042,0.10357504025302934,1.2398276281346703,1.266141723402251
matching_pennies,"1,1",1.0,0,39,standard,standard,standard,0.006664430942393398,-0.006664430942393398,0.04682744685275263,0.4965513594246287,0.21355583848562415,0.11086103718271789,1.223264436096033,1.2727148775394699
matching_pennies,"1,1",1.0,0,0,ew,ew,ew,-0.0001443209356410402,0.0001443209356410402,0.2392558049953953,0.019184062616208593,0.018925911530318525,0.009108809624713441,0.4487656142219269,0.8965900696156418
matching_pennies,"1,1",1.0,0,1,ew,ew,ew,-0.0032620165976358917,0.0032620165976358917,0.20867794400977166,0.11028365753946216,0.016486076689771135,0.0071219308569782135,0.6519908481946748,0.6425034934150906
