method,lambda_lola,success_rate,mean_final_distance_to_nash,median_final_distance_to_nash,grid_size,steps,lr,tol
standard,0.0,0.0034602076124567475,1.0482549142328714,1.0884752513034748,17,100,0.35,0.15
lola,0.0,0.0034602076124567475,1.0482549142328714,1.0884752513034748,17,100,0.35,0.15
lola,0.4,0.14186851211072665,0.7376969603131706,0.7680784585612581,17,100,0.35,0.15
lola,0.8,0.5155709342560554,0.40055621481504927,0.13064604103119795,17,100,0.35,0.15
