method,lambda_lola,x,y,converged,final_distance_to_nash,final_reward_p1,final_reward_p2
standard,0.0,-1.6,-1.6,0.0,1.3179293546024657,0.8684613567173625,-0.8684613567173625
standard,0.0,-1.6,-1.4000000000000001,0.0,1.1426775374756597,0.6310529759213144,-0.6310529759213144
standard,0.0,-1.6,-1.2000000000000002,0.0,1.2056303661274357,-0.7177324366092058,0.7177324366092058
standard,0.0,-1.6,-1.0,0.0,1.281603334414875,-0.8211826288380367,0.8211826288380367
standard,0.0,-1.6,-0.8,0.0,1.2550000466858662,-0.7859270755115565,0.7859270755115565
standard,0.0,-1.6,-0.6000000000000001,0.0,1.157550829312065,-0.6556207086493784,0.6556207086493784
standard,0.0,-1.6,-0.3999999999999999,0.0,0.9295931853445285,-0.35080346396104095,0.35080346396104095
standard,0.0,-1.6,-0.19999999999999996,0.0,0.7287781908396312,0.08291833944248944,-0.08291833944248944
standard,0.0,-1.6,0.0,0.0,0.941697415576324,0.36751631279462105,-0.36751631279462105
standard,0.0,-1.6,0.19999999999999996,0.0,1.0308440451894452,0.48661762064561503,-0.48661762064561503
standard,0.0,-1.6,0.3999999999999999,0.0,1.0536387143280872,0.5167888571766713,-0.5167888571766713
standard,0.0,-1.6,0.6000000000000001,0.0,1.0217943098650706,0.47351219445694526,-0.47351219445694526
standard,0.0,-1.6,0.8000000000000003,0.0,0.890199979700619,0.29585477420912576,-0.29585477420912576
standard,0.0,-1.6,1.0,0.0,0.7908347454555531,-0.1603236673913646,0.1603236673913646
standard,0.0,-1.6,1.2000000000000002,0.0,1.1364208156787452,-0.6242916520927723,0.6242916520927723
standard,0.0,-1.6,1.4,0.0,1.274483249298553,-0.8101412477700979,0.8101412477700979
standard,0.0,-1.6,1.6,0.0,1.3179293546031094,-0.8684613567182162,0.8684613567182162
standard,0.0,-1.4000000000000001,-1.6,0.0,1.274483249302145,0.8101412477748949,-0.8101412477748949
standard,0.0,-1.4000000000000001,-1.4000000000000001,0.0,1.1631784647986287,-0.6612183118550892,0.6612183118550892
standard,0.0,-1.4000000000000001,-1.2000000000000002,0.0,1.262808045995003,-0.796962412107459,0.796962412107459
standard,0.0,-1.4000000000000001,-1.0,0.0,0.9162800632281507,-0.3362195521616935,0.3362195521616935
standard,0.0,-1.4000000000000001,-0.8,0.0,1.1650280613337765,0.6689038770969473,-0.6689038770969473
standard,0.0,-1.4000000000000001,-0.6000000000000001,0.0,1.2342198740636658,0.7615514610195577,-0.7615514610195577
standard,0.0,-1.4000000000000001,-0.3999999999999999,0.0,1.2130169450239037,0.7340548310818913,-0.7340548310818913
