persona_id,env_name,noise_pair,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
ipd:cooperative:0,ipd,"0.2,0.2",0,standard,standard,standard,29.279413858672612,28.650671202677486,31.153097262970952,34.75268469762337,,0.5923856134998559,0.7107937049847682,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",0,ew,ew,standard,29.679153257252942,28.139787867309586,32.052808469213716,33.83895919778986,,0.5962125554481396,0.6043098547798855,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",0,lola,lola,standard,50.558109299043004,23.50379107666347,45.89371983564382,32.466142537376754,,0.6113367985690651,0.6859303299429858,1.0,1.0
ipd:cooperative:0,ipd,"0.2,0.2",0,ew_lola,ew_lola,standard,53.176712389818725,22.585789608675647,46.70746172283499,32.08505668947294,,0.6099970705653786,0.612281510125439,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,standard,standard,standard,65.18870256266666,17.95272942902772,70.98117247861101,21.805718122265088,,0.5923856134998559,0.7107937049847682,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,ew,ew,standard,69.52378815234984,16.820666771041434,72.10769875854199,21.450887072148213,,0.5962125554481396,0.6043098547798855,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,lola,lola,standard,70.7222904372942,16.311627157068,72.91454605035533,20.743275730262194,,0.6113367985690651,0.6859303299429858,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,ew_lola,ew_lola,standard,71.2652412213184,16.170433254054398,73.06286207941676,20.579202941359082,,0.6099970705653786,0.612281510125439,1.0,1.0
rps:rock:0,iterated_rps,"0.2,0.2",0,standard,standard,standard,2.963798575297326,-2.963798575297326,2.230830311657737,-2.230830311657737,,1.1779598877165895,1.0662625957279541,1.0,1.0
rps:rock:0,iterated_rps,"0.2,0.2",0,ew,ew,standard,2.7764108168082164,-2.7764108168082164,2.164031117251236,-2.164031117251236,,1.073262047533372,1.0925176938406889,1.0,1.0
rps:rock:0,iterated_rps,"0.2,0.2",0,lola,lola,standard,2.9802219840004875,-2.9802219840004875,2.236768045269673,-2.236768045269673,,1.1353854671719703,1.1592390536574313,1.0,1.0
rps:rock:0,iterated_rps,"0.2,0.2",0,ew_lola,ew_lola,standard,3.1751968725553112,-3.1751968725553112,2.4939443150772282,-2.4939443150772282,,1.0078751182031322,1.092217423628811,1.0,1.0
rps:paper:0,iterated_rps,"0.2,0.2",0,standard,standard,standard,3.1780286787857555,-3.1780286787857555,8.80984654515763,-8.80984654515763,,1.1779598877165895,1.0662625957279541,1.0,1.0
rps:paper:0,iterated_rps,"0.2,0.2",0,ew,ew,standard,1.794040123898561,-1.794040123898561,7.8546551143612415,-7.8546551143612415,,1.073262047533372,1.0925176938406889,1.0,1.0
rps:paper:0,iterated_rps,"0.2,0.2",0,lola,lola,standard,2.367642199670148,-2.367642199670148,8.496995671673398,-8.496995671673398,,1.1353854671719703,1.1592390536574313,1.0,1.0
rps:paper:0,iterated_rps,"0.2,0.2",0,ew_lola,ew_lola,standard,1.1974782842221734,-1.1974782842221734,7.534994124293278,-7.534994124293278,,1.0078751182031322,1.092217423628811,1.0,1.0
rps:scissors:0,iterated_rps,"0.2,0.2",0,standard,standard,standard,2.0474509601734603,-2.0474509601734603,2.7893431005852447,-2.7893431005852447,,1.1779598877165895,1.0662625957279541,1.0,1.0
rps:scissors:0,iterated_rps,"0.2,0.2",0,ew,ew,standard,2.1882841159922926,-2.1882841159922926,3.147576472917077,-3.147576472917077,,1.073262047533372,1.0925176938406889,1.0,1.0
rps:scissors:0,iterated_rps,"0.2,0.2",0,lola,lola,standard,2.0547086696487034,-2.0547086696487034,2.862359514174634,-2.862359514174634,,1.1353854671719703,1.1592390536574313,1.0,1.0
rps:scissors:0,iterated_rps,"0.2,0.2",0,ew_lola,ew_lola,standard,2.0663458419123524,-2.0663458419123524,2.870243609434586,-2.870243609434586,,1.0078751182031322,1.092217423628811,1.0,1.0
