method,lambda_lola,x,y,converged,final_distance_to_nash,final_reward_p1,final_reward_p2
standard,0.0,-1.6,-1.6,0.0,1.3179293546024657,0.8684613567173625,-0.8684613567173625
standard,0.0,-1.6,-1.3333333333333335,0.0,0.7805375045374046,0.14067384924089316,-0.14067384924089316
standard,0.0,-1.6,-1.0666666666666669,0.0,1.2759795568081098,-0.8133874424593492,0.8133874424593492
standard,0.0,-1.6,-0.8,0.0,1.2550000466858662,-0.7859270755115565,0.7859270755115565
standard,0.0,-1.6,-0.5333333333333334,0.0,1.0993938507411107,-0.5778254846264526,0.5778254846264526
standard,0.0,-1.6,-0.26666666666666683,0.0,0.709353845475283,-0.0568444736601047,0.0568444736601047
standard,0.0,-1.6,0.0,0.0,0.941697415576324,0.36751631279462105,-0.36751631279462105
standard,0.0,-1.6,0.2666666666666666,0.0,1.0442861897871942,0.5045172680445184,-0.5045172680445184
standard,0.0,-1.6,0.5333333333333332,0.0,1.039714004699157,0.49777056416376375,-0.49777056416376375
standard,0.0,-1.6,0.7999999999999998,0.0,0.8901999796986916,0.29585477420641837,-0.29585477420641837
standard,0.0,-1.6,1.0666666666666664,0.0,0.9287758800473062,-0.34524005824888243,0.34524005824888243
standard,0.0,-1.6,1.333333333333333,0.0,1.2441622568908237,-0.7693208986253794,0.7693208986253794
standard,0.0,-1.6,1.6,0.0,1.3179293546031094,-0.8684613567182162,0.8684613567182162
standard,0.0,-1.3333333333333335,-1.6,0.0,1.2441622568897417,0.7693208986239385,-0.7693208986239385
standard,0.0,-1.3333333333333335,-1.3333333333333335,0.0,1.2672964724930043,-0.8026290869483771,0.8026290869483771
standard,0.0,-1.3333333333333335,-1.0666666666666669,0.0,0.8049772101152894,-0.18951665349592173,0.18951665349592173
standard,0.0,-1.3333333333333335,-0.8,0.0,1.2275516188565492,0.7529784429357461,-0.7529784429357461
standard,0.0,-1.3333333333333335,-0.5333333333333334,0.0,1.1504414481188188,0.6526096547163681,-0.6526096547163681
standard,0.0,-1.3333333333333335,-0.26666666666666683,0.0,0.7768473834229326,0.1638204418566399,-0.1638204418566399
standard,0.0,-1.3333333333333335,0.0,0.0,0.9115644353255681,-0.34056938402411724,0.34056938402411724
