method,lambda_lola,success_rate,mean_final_distance_to_nash,median_final_distance_to_nash,grid_size,steps,lr,tol
standard,0.0,0.005917159763313609,0.9931406437287413,1.0095344053583357,13,100,0.35,0.15
lola,0.0,0.005917159763313609,0.9931406437287413,1.0095344053583357,13,100,0.35,0.15
lola,0.2,0.005917159763313609,0.9276516643071688,0.9870094469408464,13,100,0.35,0.15
lola,0.4,0.1242603550295858,0.7608253515543795,0.805506943742597,13,100,0.35,0.15
lola,0.6,0.3609467455621302,0.5922493074725872,0.6788983007498967,13,100,0.35,0.15
lola,0.8,0.4556213017751479,0.40537212949894263,0.2428666691456438,13,100,0.35,0.15
